Car_Brand,Car_Model,Year,Car_Condition,Mileage,Price
Lexus,GS 350,2008,Nigerian Used,164268,4908750
Lexus,GS 350,2007,Nigerian Used,198832,3780000
Lexus,ES 350,2007,Nigerian Used,205123,7800000
Mercedes-Benz,GL 450 4MATIC,2012,Nigerian Used,134101,8400000
Hyundai,Elantra,2007,Nigerian Used,240961,3045000
Lexus,GX 460,2010,Nigerian Used,89038,15540000
Toyota,Yaris,2008,Nigerian Used,193785,2730000
Lexus,RX 300,2000,Nigerian Used,25739,2625000
Kia,Optima,2007,Nigerian Used,78659,2625000
Lexus,LS 460,2007,Nigerian Used,259245,4347000
Toyota,Corolla,2013,Foreign Used,133250,8840000
Honda,Civic,2007,Nigerian Used,414377,2144332
Nissan,Pathfinder,2006,Nigerian Used,258348,3360000
Honda,Accord,2008,Nigerian Used,176866,2520000
Toyota,Camry,2005,Nigerian Used,162944,2912000
Toyota,Sienna,2011,Nigerian Used,241798,7800000
Toyota,Corolla,2010,Nigerian Used,114747,4395300
Toyota,Avalon,2009,Nigerian Used,148001,3640000
Volkswagen,Polo,2001,Nigerian Used,199207,1575000
Lexus,RX 350,2010,Nigerian Used,87987,8925000
Toyota,Highlander,2017,Nigerian Used,151213,22880000
Honda,Accord,2009,Nigerian Used,182669,3034500
Mercedes-Benz,C 180,2001,Nigerian Used,262828,3675000
Honda,Accord,2005,Nigerian Used,278901,2080000
Acura,RL,2005,Nigerian Used,136340,2835000
Mercedes-Benz,ML 350,2004,Nigerian Used,336764,3536000
Ford,Focus,2005,Nigerian Used,336495,2100000
Honda,Accord,2013,Foreign Used,253179,10088000
Toyota,Avalon,2002,Nigerian Used,244296,1764000
Pontiac,Vibe,2007,Nigerian Used,233513,3675000
Toyota,Sienna,2015,Foreign Used,165351,14280000
Honda,Accord,2004,Nigerian Used,431517,1820000
Infiniti,QX56,2004,Nigerian Used,120618,6300000
Toyota,Corolla,2006,Nigerian Used,206464,3744000
Toyota,Corolla,2015,Nigerian Used,127416,8840000
Toyota,Highlander,2005,Nigerian Used,186180,3675000
Mercedes-Benz,GL 450 4MATIC,2007,Nigerian Used,176937,5040000
Lexus,ES 300,2002,Nigerian Used,200853,2310000
Cadillac,SRX,2006,Foreign Used,274085,4200000
Toyota,Sienna,2006,Nigerian Used,457298,4368000
Toyota,Camry,2009,Nigerian Used,271002,5512000
Toyota,Tacoma,2017,Foreign Used,129881,28080000
Mercedes-Benz,ML 350,2006,Nigerian Used,170723,4462500
Lexus,ES 330,2005,Nigerian Used,389415,3360000
Toyota,Sienna,2001,Nigerian Used,137255,2704000
Acura,TL,2006,Nigerian Used,156930,2625000
Toyota,Land Cruiser,2014,Nigerian Used,68283,38480000
Lexus,RX 350,2008,Nigerian Used,104228,5565000
Toyota,Camry,2008,Nigerian Used,254015,3675000
Hyundai,Accent,2012,Nigerian Used,193889,1420000
Mercedes-Benz,Sprinter,2012,Foreign Used,264458,11865000
Ford,Explorer,2016,Nigerian Used,207056,10500000
Mercedes-Benz,C 300,2008,Nigerian Used,97848,6032000
Pontiac,Torrent,2009,Nigerian Used,206739,3675000
Toyota,Avensis,2005,Nigerian Used,191459,2016000
Mercedes-Benz,GLE 350 4 MATIC,2017,Nigerian Used,50797,30160000
Toyota,Corolla,2010,Nigerian Used,171740,5512000
Mercedes-Benz,C 180,2001,Nigerian Used,233925,1365000
Ford,Focus,2015,Nigerian Used,118196,3150000
Toyota,Highlander,2008,Nigerian Used,175203,5250000
Mercedes-Benz,GLK 350 4MATIC,2014,Foreign Used,181541,20280000
Hyundai,Santa Fe,2008,Nigerian Used,144641,4316000
Honda,Crosstour,2010,Nigerian Used,124694,4815000
Toyota,Corolla,2004,Nigerian Used,231205,3224000
Kia,Cerato,2010,Nigerian Used,275243,2415000
Toyota,Sienna,2009,Nigerian Used,292341,3990000
Lexus,ES 330,2005,Nigerian Used,232490,3832500
Toyota,Corolla,2009,Nigerian Used,199725,4305000
Nissan,Murano,2008,Foreign Used,180916,2415000
Nissan,Pathfinder,2005,Nigerian Used,174491,1995000
Honda,Pilot,2009,Foreign Used,377515,8528000
Kia,Rio,2013,Nigerian Used,96548,2625000
Toyota,Camry,2005,Nigerian Used,193533,2835000
Toyota,Sienna,2004,Nigerian Used,207532,3990000
Ford,Edge,2007,Foreign Used,310572,4730250
BMW,328i,2008,Nigerian Used,277987,5250000
Honda,Crosstour,2010,Nigerian Used,93676,2940000
Toyota,Corolla,2000,Nigerian Used,218129,2808000
Toyota,Avensis,2008,Nigerian Used,101613,3360000
Land Rover,Range Rover Sport,2011,Nigerian Used,159736,10608000
Hyundai,Creta,2016,Nigerian Used,47912,11550000
Audi,A4,2006,Nigerian Used,180337,3675000
Toyota,Avalon,2015,Foreign Used,69468,14700000
Ford,Focus,2012,Nigerian Used,103615,4095000
Mercedes-Benz,C 230,2007,Nigerian Used,260655,2677500
Mazda,MPV,2005,Foreign Used,206905,4725000
Honda,Pilot,2004,Nigerian Used,184941,3848000
Lexus,ES 330,2004,Nigerian Used,491960,3465000
Mercedes-Benz,E 320,2003,Nigerian Used,150893,2100000
Toyota,Corolla,2013,Foreign Used,827337,8925000
Lexus,RX 300,2000,Nigerian Used,222997,2625000
Toyota,Highlander,2005,Foreign Used,422957,6300000
Mercedes-Benz,ML 350 4MATIC,2013,Nigerian Used,100659,14101500
Toyota,Camry,2011,Foreign Used,178404,7904000
Nissan,Armada,2011,Foreign Used,226062,6825000
Honda,Accord,2005,Nigerian Used,206445,2496000
Toyota,Corolla,2009,Nigerian Used,128980,3150000
Lexus,RX 330,2004,Nigerian Used,389399,3990000
Lexus,RX 300,2000,Nigerian Used,419818,2310000
Honda,Accord,2007,Nigerian Used,359745,2600000
Toyota,Camry,2009,Nigerian Used,110781,3675000
Toyota,Avensis,2006,Nigerian Used,201996,2808000
Mercedes-Benz,ML 320,2000,Nigerian Used,171887,2100000
Mercedes-Benz,GLK 350 4MATIC,2011,Nigerian Used,129445,9360000
Toyota,Tacoma,2002,Nigerian Used,282557,6825000
Nissan,Murano,2013,Nigerian Used,228257,6825000
Ford,Edge,2012,Nigerian Used,204954,4462500
Toyota,Sienna,2008,Nigerian Used,83963,4680000
Lexus,RX 350,2008,Nigerian Used,153431,6760000
Lexus,GX 460,2010,Nigerian Used,282072,24960000
Peugeot,307,2008,Nigerian Used,103225,2071680
Scion,iA Base,2016,Nigerian Used,363725,8925000
Peugeot,406,2004,Nigerian Used,380274,3536000
Toyota,Highlander,2008,Nigerian Used,212880,6825000
Toyota,Corolla,2004,Nigerian Used,160932,3120000
Toyota,Corolla,2009,Nigerian Used,269782,2129400
Toyota,Corolla,2004,Nigerian Used,78338,2562000
Mercedes-Benz,E 350,2008,Nigerian Used,350783,3570000
Hyundai,Sonata,2006,Nigerian Used,363715,2205000
Mercedes-Benz,GLK 350 4MATIC,2011,Nigerian Used,56895,9360000
Honda,Odyssey,2000,Nigerian Used,317957,3097500
Toyota,Camry,2015,Nigerian Used,115920,10192000
Land Rover,Range Rover Sport,2008,Nigerian Used,85900,5250000
Toyota,Camry,2007,Nigerian Used,172097,4095000
Volvo,S80,2001,Nigerian Used,368702,2625000
Toyota,Sienna LE,2004,Nigerian Used,187226,4680000
Lexus,RX 300,2002,Nigerian Used,243493,3640000
Toyota,Highlander,2012,Nigerian Used,322682,9360000
Honda,Pilot,2006,Nigerian Used,188118,2625000
Lexus,GX 470,2009,Nigerian Used,194590,14040000
Land Rover,Range Rover,2014,Foreign Used,84458,41600000
Honda,Accord,2018,Foreign Used,163404,16800000
Nissan,Sentra,2013,Foreign Used,128700,6972000
Nissan,Altima,2008,Nigerian Used,233561,2600000
Acura,MDX,2007,Nigerian Used,325547,3990000
Peugeot,307,2006,Nigerian Used,230308,3465000
Hyundai,Sonata,2013,Nigerian Used,271962,4200000
Ford,Transit,2000,Nigerian Used,287109,5775000
Honda,Odyssey,2005,Nigerian Used,192723,3675000
Toyota,Corolla,2006,Nigerian Used,281182,3640000
Volkswagen,Golf,2004,Nigerian Used,16481,1890000
Toyota,Highlander,2008,Nigerian Used,364040,8112000
Acura,TL,2010,Nigerian Used,200000,3444000
Ford,Focus,2010,Nigerian Used,181284,1260000
Toyota,Camry,2006,Nigerian Used,425237,2730000
Toyota,Camry,2014,Foreign Used,89146,10290000
Lexus,RX 350,2007,Nigerian Used,75942,6300000
Nissan,Sunny,2006,Nigerian Used,167425,1312500
Hyundai,Sonata,2012,Nigerian Used,97329,8320000
Toyota,Camry,2008,Nigerian Used,241719,2625000
Hyundai,Genesis,2010,Foreign Used,200607,4200000
Toyota,Sienna,2007,Nigerian Used,166854,6656000
Honda,Pilot,2016,Nigerian Used,75267,14700000
Honda,Pilot,2005,Nigerian Used,227890,3120000
Toyota,Corolla,2004,Nigerian Used,346861,2730000
